observation_id,class_id
3008822343,1128
3008822344,671
3008822354,836
3008822357,386
3008822359,1213
3008822365,1175
3008822366,1543
3008822367,857
3008822376,1420
3008822380,1395
3008822382,1058
3008822386,100
3008822389,1486
3008822393,-1
3008822395,213
3008822396,-1
3008823346,836
3008823349,703
3008823352,1483
3008823353,1014
3008823356,1491
3008823361,195
3008823367,957
3008823369,88
3008823374,489
3008823382,1401
3008823384,1500
3008823386,1146
3008823388,1039
3008823390,357
3008823391,147
3008823392,1401
3008823395,1543
3008823396,131
3008823398,471
3008823401,580
3008823402,1059
3008823404,1004
3008823406,1595
3008824338,467
3008824343,-1
3008824348,88
3008824353,538
3008824355,492
3008824357,492
3008824359,489
3008824363,1575
3008824364,1440
3008824368,88
3008824369,856
3008824373,374
3008824374,88
3008824375,1182
3008824376,1136
3008824381,1401
3008824384,1595
3008824388,591
3008824389,1491
3008824390,694
3008824391,1128
3008824393,1491
3008824394,1400
3008824395,1182
3008824396,1483
3008825348,1483
3008825349,124
3008825350,1175
3008825353,1491
3008825358,685
3008825361,1061
3008825367,170
3008825369,856
3008825370,-1
3008825372,170
3008825378,487
3008825382,1596
3008825383,74
3008825387,739
3008825393,538
3008825397,387
3008825400,1395
3008825401,1182
3008825402,1239
3008825403,213
3008826340,1395
3008826346,249
3008826348,1491
3008826357,387
3008826358,170
3008826359,467
3008826362,538
3008826364,1289
3008826367,487
3008826369,1039
3008826371,1491
3008826382,1220
3008826388,974
3008826390,854
3008826392,856
3008826393,1486
3008826394,1136
3008826398,471
3008826404,1486
3008827343,743
3008827344,170
3008827347,1184
3008827353,1491
3008827366,473
3008827370,1088
3008827373,1502
3008827374,394
3008827376,1595
3008827379,854
3008827382,1401
3008827386,1543
3008827389,196
3008827394,1058
3008827400,1093
3008827401,-1
3008827402,-1
3008827403,628
3008827404,1182
3008827406,794
3008828343,469
3008828347,223
3008828349,1182
3008828359,487
3008828361,1022
3008828363,1059
3008828365,496
3008828367,231
3008828369,391
3008828371,75
3008828372,1182
3008828374,856
3008828375,1182
3008828379,88
3008828381,474
3008828386,387
3008828390,144
3008828391,1175
3008828395,-1
3008828398,1483
3008828399,1447
3008829344,93
3008829348,471
3008829349,136
3008829350,1491
3008829351,89
3008829355,75
3008829360,1395
3008829363,1437
3008829364,-1
3008829365,-1
3008829366,214
3008829368,343
3008829373,-1
3008829375,1437
3008829376,-1
3008829380,375
3008829385,703
3008829386,225
3008829388,201
3008829389,99
3008829391,469
3008829393,1437
3008829399,1491
3008829400,741
3008829402,710
3008829403,489
3008830344,740
3008830345,1491
3008830346,1088
3008830349,487
3008830352,1115
3008830359,1482
3008830363,-1
3008830366,1135
3008830370,1395
3008830374,1543
3008830376,937
3008830381,1182
3008830384,182
3008830388,1595
3008830390,1213
3008830391,1175
3008830393,1186
3008830394,1483
3008830396,262
3008830397,739
3008830398,-1
3008831344,75
3008831347,1440
3008831356,1177
3008831357,1175
3008831359,88
3008831360,747
3008831366,1603
3008831367,1058
3008831368,-1
3008831376,77
3008831378,94
3008831380,88
3008831382,180
3008831383,465
3008831385,471
3008831386,1088
3008831392,94
3008831396,687
3008831397,710
3008831398,685
3008831401,99
3008832355,124
3008832356,515
3008832357,496
3008832359,580
3008832361,1602
3008832373,100
3008832374,1177
3008832379,-1
3008832380,1584
3008832382,1113
3008832383,1014
3008832402,693
3008832404,1437
3008832405,468
3008832407,934
3008833339,489
3008833340,1301
3008833341,99
3008833344,1595
3008833351,75
3008833354,1237
3008833355,836
3008833356,75
3008833358,144
3008833361,99
3008833365,663
3008833366,99
3008833368,-1
3008833375,124
3008833377,1401
3008833382,1404
3008833383,1182
3008833387,180
3008833389,1491
3008833391,1175
3008833395,1543
3008833396,812
3008833397,1598
3008833399,1184
3008834350,1437
3008834351,1401
3008834352,492
3008834355,1438
3008834356,263
3008834361,1547
3008834365,836
3008834367,1040
3008834368,1177
3008834371,492
3008834382,1491
3008834391,1182
3008834394,1119
3008834403,515
3008834404,474
3008835346,1482
3008835350,487
3008835354,469
3008835356,-1
3008835357,469
3008835359,1482
3008835361,472
3008835370,754
3008835378,1491
3008835379,1457
3008835380,1014
3008835383,355
3008835389,962
3008835390,389
3008835398,1059
3008835399,1177
3008835401,-1
3008835409,88
3008835410,1182
3008835412,136
3008836344,1175
3008836345,1204
3008836346,88
3008836354,88
3008836358,557
3008836361,130
3008836364,183
3008836368,1543
3008836369,345
3008836374,487
3008836375,1182
3008836378,688
3008836379,995
3008836385,466
3008836390,1182
3008836394,1440
3008836396,551
3008836398,1428
3008836402,1182
3008836412,835
3008836413,54
3008837349,743
3008837350,387
3008837352,522
3008837354,1595
3008837356,-1
3008837357,1409
3008837358,391
3008837363,695
3008837365,836
3008837368,186
3008837372,469
3008837375,713
3008837377,1437
3008837384,1121
3008837385,1491
3008837386,1486
3008837387,184
3008837390,186
3008837393,1491
3008837394,213
3008837399,223
3008837402,1401
3008838343,1486
3008838347,1491
3008838356,1186
3008838359,1595
3008838363,-1
3008838364,1015
3008838365,65
3008838366,747
3008838369,75
3008838370,170
3008838374,487
3008838386,374
3008838387,1594
3008838391,75
3008838392,118
3008838394,1595
3008838395,1205
3008838398,88
3008838399,489
3008838402,469
3008838410,702
3008838411,214
3008839348,1491
3008839352,1595
3008839353,-1
3008839354,469
3008839355,100
3008839357,170
3008839360,88
3008839366,695
3008839368,394
3008839371,685
3008839373,747
3008839377,1182
3008839379,1486
3008839383,-1
3008839384,1491
3008839390,214
3008839392,836
3008839393,-1
3008839397,-1
3008839400,384
